FID,local_authority,site_name,site_code,address,datazone,development_potential,east,north,owner_1,owner_2,period,previous_use,site_size,site_type,la_s_code,sh_src,sh_date_uploaded,sh_src_id
pub_vdl.1,Loch Lomond and Trossachs National Park,FORMER TORPEDO RANGE,ARROCHAR VE1,ARROCHAR,S01007358,Developable - Short Term,228745,703979,Defence,Not applicable (i.e. only one owner),2001-2004,Utility Services,3.61,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,942
pub_vdl.2,Loch Lomond and Trossachs National Park,WOODBANK,BALLOCH VE4,LUSS ROAD BALLOCH,S01013207,Developable - Undetermined,238181,681790,Other Private,Not applicable (i.e. only one owner),1981-1985,Residential - Housing,0.81,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,944
pub_vdl.3,Loch Lomond and Trossachs National Park,FORMER HOTEL SITE,CARRICK CASTLE H1,CARRICK CASTLE CARRICK CASTLE,S01007355,Developable - Short Term,219391,694326,Other Private,Not applicable (i.e. only one owner),2001-2004,Unknown,0.53,Vacant Land,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,938
pub_vdl.4,Loch Lomond and Trossachs National Park,SALMON LEAP,DRYMEN MU1,MAIN STREET DRYMEN,S01013010,Developable - Medium Term,247474,688465,Other Private,Not applicable (i.e. only one owner),Unknown,"Residential - Hotels, Hostels etc",0.25,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,939
pub_vdl.65,Aberdeen City,FORMER HYDRASUN BUILDING,2023-12,PITTODRIE LANE ABERDEEN,S01006670,Unknown (uncertain/insufficient information),394400,807470,Unknown Private,Not applicable (i.e. only one owner),2017,Business Class,0.44,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1559
pub_vdl.5,Loch Lomond and Trossachs National Park,HOLIDAY CENTRE,LOCHEARNHEAD H1,A84 LOCHEARNHEAD,S01013119,Developable - Medium Term,258858,723441,Unknown Private,Not applicable (i.e. only one owner),Unknown,Unknown,0.56,Vacant Land,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,940
pub_vdl.6,Loch Lomond and Trossachs National Park,STATION COTTAGES,LOCHEARNHEAD MU1,A85 LOCHSIDE ROAD LOCHEARNHEAD,S01013119,Developable - Medium Term,258892,723896,Other Private,Not applicable (i.e. only one owner),Unknown,Transport,0.92,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,941
pub_vdl.7,Loch Lomond and Trossachs National Park,TOURIST INFORMATION CENTRE SITE AND ADJOINING LAND,TARBET VE1,A82 TARBET,S01007358,Developable - Short Term,231897,704498,Other National/Local Government,Not applicable (i.e. only one owner),2001-2004,Unknown,0.16,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,943
pub_vdl.8,Loch Lomond and Trossachs National Park,FORMER HARVEYS GARAGE SITE,TARBET VE3,A82 TARBET,S01007358,Developable - Short Term,232243,704744,Unknown Private,Not applicable (i.e. only one owner),2001-2004,Utility Services,0.42,Derelict,,79cca7d6-821f-4c0d-97ab-08bcaf586529,2025-12-03,945
pub_vdl.9,Angus,THE PAVILLION,AN/F/21THE PAVILLION,QUEEN STREET FORFAR,S01007257,Unknown (uncertain/insufficient information),345687,750704,Unknown Private,Not applicable (i.e. only one owner),2009,Recreation & Leisure,0.19,Vacant Land,S12000041,a17f5236-c941-485c-9ff1-1f425b6df2f0,2025-11-30,1788
pub_vdl.10,Angus,ORCHARDBANK HOUSE,AN/F/21ORCHARDBANK HOUSE,ORCHARDBANK BUSINESS PARK FORFAR,S01007264,Unknown (uncertain/insufficient information),344042,750128,Unknown Private,Not applicable (i.e. only one owner),2010,Residential - Housing,0.1,Vacant Land and Buildings,S12000041,a17f5236-c941-485c-9ff1-1f425b6df2f0,2025-11-30,1828
pub_vdl.11,Aberdeen City,EX GARAGE AND THE COLWYN,200020,868-870 GREAT NORTHERN ROAD ABERDEEN,S01006681,Developable - Undetermined,391250,809190,Unknown Private,Other National/Local Government,1996-2000,Retailing,0.58,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1519
pub_vdl.12,Aberdeen City,DUNBAR HALLS,2004-15,DON STREET ABERDEEN,S01006671,Unknown (uncertain/insufficient information),394075,808775,Other Private,Not applicable (i.e. only one owner),2001-2004,"Residential - Hotels, Hostels etc",1.23,Vacant Land,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1495
pub_vdl.13,Aberdeen City,PERSLEY FARM BUILDINGS,2007-8,PERSLEY ABERDEEN,S01006762,Developable - Undetermined,391030,810050,Other Private,Not applicable (i.e. only one owner),Unknown,Agriculture,0.35,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1507
pub_vdl.14,Aberdeen City,BROADFORD WORKS,2008-2,HUTCHEON STREET ABERDEEN,S01006648,Developable - Short Term,393610,806890,Other Private,Not applicable (i.e. only one owner),Unknown,Other General Industry,3.7,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1496
pub_vdl.15,Aberdeen City,BALGOWNIE MACHINE CENTRE,2009-4,GREAT NORTHERN ROAD ABERDEEN,S01006657,Developable - Undetermined,393110,807850,Unknown Private,Not applicable (i.e. only one owner),Unknown,Other,0.21,Derelict,S12000033,29954e77-767d-4b7b-bb0c-5fa3fd76b767,2025-11-30,1497
