score,proximity_score,mean_member_km,nearest_home_m,housing_status,site_code,site_name,council,address,size_ha,site_type,development_potential,previous_use,lat,lon,km_from_glasgow_centre,km_from_glasgow_airport,km_from_cumbernauld_airport,in_airport_frz,map_url
13,2,16.0,11.4,violation,8445387,FORMER BLAES PITCH,South Lanarkshire,WESTBURN ROAD CAMBUSLANG,1.25,Vacant Land,Developable - Undetermined,Recreation & Leisure,55.820998,-4.151503,7.7,18.4,17.7,False,"https://www.google.com/maps/search/?api=1&query=55.820998,-4.151503"
13,2,18.8,47.2,violation,2829,,Glasgow City,EAST OF LOCHGOIN AVENUE.,1.07,Vacant Land,Developable - Undetermined,Passive Open Space,55.917933,-4.372224,9.9,7.0,24.6,False,"https://www.google.com/maps/search/?api=1&query=55.917933,-4.372224"
13,2,20.2,7.9,violation,NL008491903,FORMER RECREATION GROUND (NLMK1265),North Lanarkshire,MACARTHUR AVENUE GLENMAVIS,1.63,Vacant Land,Developable - Undetermined,Recreation & Leisure,55.883586,-4.002923,16.1,27.0,7.3,False,"https://www.google.com/maps/search/?api=1&query=55.883586,-4.002923"
13,2,21.8,1.3,violation,NL008491906,WHEATHOLME PARK NORTH (FORMER HOUSING SITE NLMK122,North Lanarkshire,WHEATHOLM STREET RAWYARDS AIRDRIE,0.73,Vacant Land,Developable - Undetermined,Recreation & Leisure,55.874173,-3.970852,17.9,29.0,8.3,False,"https://www.google.com/maps/search/?api=1&query=55.874173,-3.970852"
12,3,13.1,37.7,violation,2331,,Glasgow City,SOUTH OF 195 FIRPARK STREET.,1.16,Vacant Land,Developable - Undetermined,Residential - Housing,55.863056,-4.228413,1.8,12.9,18.1,False,"https://www.google.com/maps/search/?api=1&query=55.863056,-4.228413"
12,3,13.8,33.1,violation,3185,,Glasgow City,LIDDLESDALE ROAD SCALPAY STREET/ LIDDLESDALE P,2.0,Vacant Land,Developable - Undetermined,Residential - Housing,55.896559,-4.24876,4.4,12.1,17.6,False,"https://www.google.com/maps/search/?api=1&query=55.896559,-4.248760"
12,3,13.9,0.7,violation,3977,ST AMBROSE'S P.S,Glasgow City,MINGULAY STREET MINGULAY PLACE,1.56,Vacant Land,Developable - Undetermined,Education,55.899079,-4.239213,4.7,12.7,17.0,False,"https://www.google.com/maps/search/?api=1&query=55.899079,-4.239213"
12,2,15.2,0.1,violation,1560,,Glasgow City,REAR OF 42-78 GARDENSIDE CRESCENT.,0.78,Vacant Land,Developable - Undetermined,Agriculture,55.827945,-4.161786,6.7,17.5,17.5,False,"https://www.google.com/maps/search/?api=1&query=55.827945,-4.161786"
11,3,13.2,17.9,violation,2545,,Glasgow City,SPRINGBURN ROAD/ PETERSHILL ROAD.,0.86,Vacant Land,Developable - Undetermined,Unknown,55.87652,-4.231343,2.6,12.7,17.5,False,"https://www.google.com/maps/search/?api=1&query=55.876520,-4.231343"
11,3,13.1,0.0,violation,3106,,Glasgow City,26-66 LEDAIG STREET,0.44,Vacant Land,Uneconomic to Develop/Soft End Use,Residential - Housing,55.859962,-4.198561,3.6,14.7,16.7,False,"https://www.google.com/maps/search/?api=1&query=55.859962,-4.198561"
11,3,13.7,5.5,violation,3378,CHIRNSIDE P.F.,Glasgow City,ASHGILL ROAD,2.24,Derelict,Uneconomic to Develop/Soft End Use,Recreation & Leisure,55.893661,-4.242563,4.1,12.4,17.4,False,"https://www.google.com/maps/search/?api=1&query=55.893661,-4.242563"
11,3,14.0,32.3,violation,309,,Glasgow City,EAST OF 310 GLENTANNAR RD,0.78,Vacant Land,Developable - Undetermined,Unknown,55.899379,-4.256218,4.7,11.7,18.0,False,"https://www.google.com/maps/search/?api=1&query=55.899379,-4.256218"
11,3,14.3,3.0,violation,3289,W. SUBURB CENTRE,Glasgow City,GARTLOCH ROAD / STEPPS ROAD,1.24,Vacant Land,Developable - Undetermined,Unknown,55.870865,-4.157345,6.3,17.3,13.9,False,"https://www.google.com/maps/search/?api=1&query=55.870865,-4.157345"
11,2,18.2,5.8,violation,3658,SUMMERHILL P.S.,Glasgow City,DRUMMORE ROAD,1.71,Vacant Land,Developable - Undetermined,Education,55.917721,-4.36032,9.4,7.4,23.9,False,"https://www.google.com/maps/search/?api=1&query=55.917721,-4.360320"
11,2,16.5,0.0,violation,1673,,Glasgow City,DUNPHAIL ROAD/ ABBEYCRAIG ROAD.,0.99,Vacant Land,Developable - Undetermined,Residential - Housing,55.868395,-4.095945,10.1,21.1,11.4,False,"https://www.google.com/maps/search/?api=1&query=55.868395,-4.095945"
11,2,24.4,0.3,violation,8510561,DEE DRIVE,Renfrewshire,DEE DRIVE PAISLEY (FOXBAR),1.95,Vacant Land,Developable - Undetermined,Residential - Housing,55.830327,-4.464631,13.4,4.4,32.9,True,"https://www.google.com/maps/search/?api=1&query=55.830327,-4.464631"
11,2,24.5,22.4,violation,8510559,DEE DRIVE,Renfrewshire,DEE DRIVE PAISLEY (FOXBAR),1.0,Vacant Land,Developable - Undetermined,Residential - Housing,55.830978,-4.465806,13.5,4.4,32.9,True,"https://www.google.com/maps/search/?api=1&query=55.830978,-4.465806"
11,2,23.0,2.3,violation,NL008501381,FORGEWOOD REGEN AREA 3,North Lanarkshire,KYLEMORE CRESCENT FORGEWOOD MOTHERWELL,1.14,Vacant Land,Developable - Undetermined,Residential - Housing,55.801918,-4.00037,17.2,28.1,16.4,False,"https://www.google.com/maps/search/?api=1&query=55.801918,-4.000370"
10,3,13.0,0.1,violation,4389,MILLERSTON ST,Glasgow City,MILLERSTON ST GALLOWGATE,0.83,Vacant Land,Developable - Medium Term,Residential - Housing,55.855261,-4.215136,2.6,13.7,17.9,False,"https://www.google.com/maps/search/?api=1&query=55.855261,-4.215136"
10,3,13.6,6.5,violation,4284,WESTERCOMMON PS,Glasgow City,ELLESMERE STREET,1.71,Vacant Land,Developable - Medium Term,Education,55.88165,-4.264847,2.7,10.7,19.2,False,"https://www.google.com/maps/search/?api=1&query=55.881650,-4.264847"
10,3,15.0,26.2,violation,3974,WELLHOUSE P.S.,Glasgow City,2-4 BALADO ROAD BARTIEBEITH ROAD,1.6,Vacant Land,Developable - Medium Term,Education,55.862867,-4.138779,7.3,18.5,13.7,False,"https://www.google.com/maps/search/?api=1&query=55.862867,-4.138779"
10,2,19.9,31.5,violation,2871,,Glasgow City,OPPOSITE 239 CLEEVES ROAD CLEEVES ROAD.,0.48,Vacant Land,Developable - Undetermined,Passive Open Space,55.813725,-4.358391,8.1,7.5,27.9,False,"https://www.google.com/maps/search/?api=1&query=55.813725,-4.358391"
10,2,15.9,27.0,violation,3975,BLAIRTUMMOCK P.S,Glasgow City,ABERDALGIE ROAD/ BALDINNIE ROAD,1.63,Vacant Land,Unknown (uncertain/insufficient information),Education,55.864992,-4.11414,8.9,20.0,12.4,False,"https://www.google.com/maps/search/?api=1&query=55.864992,-4.114140"
10,2,19.1,0.1,violation,4124,,Glasgow City,HALLGREEN AVENUE / ABBOTSHALL AVE,1.07,Vacant Land,Developable - Undetermined,Unknown,55.909692,-4.383785,9.9,5.8,25.5,False,"https://www.google.com/maps/search/?api=1&query=55.909692,-4.383785"
10,2,16.9,0.1,violation,NL008521816,SITE OF FORMER TENNIS COURTS/BOWLING GREEN & PAVIL,North Lanarkshire,GARTFERRY ROAD MOODIESBURN,0.42,Vacant Land,Developable - Undetermined,Recreation & Leisure,55.914123,-4.095788,11.8,21.8,8.0,False,"https://www.google.com/maps/search/?api=1&query=55.914123,-4.095788"
10,2,21.5,0.5,violation,NL008381888,FORMER RECREATION GROUND & CAR PARK,North Lanarkshire,OLD GLASGOW ROAD VILLAGE CUMBERNAULD,1.49,Derelict,Developable - Undetermined,Recreation & Leisure,55.957983,-3.985475,20.3,29.8,1.1,True,"https://www.google.com/maps/search/?api=1&query=55.957983,-3.985475"
10,1,30.6,2.6,violation,8410201,SOUTH OF LANE,West Dunbartonshire,DILLICHIP LOAN BONHILL,0.75,Vacant Land,Developable - Undetermined,Residential - Housing,55.978348,-4.574102,24.0,15.3,37.1,False,"https://www.google.com/maps/search/?api=1&query=55.978348,-4.574102"
10,1,29.8,43.6,violation,NL008501835,FORMER RECREATION GROUND (HOUSING SITE NLMW1250),North Lanarkshire,OVERTOWN ROAD WATERLOO WISHAW,1.61,Vacant Land,Developable - Medium Term,Recreation & Leisure,55.764588,-3.894799,24.9,35.6,21.2,False,"https://www.google.com/maps/search/?api=1&query=55.764588,-3.894799"
9,3,13.5,37.3,violation,2592,,Glasgow City,S OF POSSIL ROAD,0.45,Vacant Land,Developable - Undetermined,Residential - Housing,55.877233,-4.257283,2.2,11.1,18.9,False,"https://www.google.com/maps/search/?api=1&query=55.877233,-4.257283"
9,3,13.8,45.5,violation,4174,OUR LADY P.S.,Glasgow City,WHITWORTH DRIVE BILSLAND DRIVE,0.82,Derelict,Developable - Undetermined,Education,55.889236,-4.269239,3.6,10.6,19.1,False,"https://www.google.com/maps/search/?api=1&query=55.889236,-4.269239"
9,3,13.8,1.9,violation,2106,,Glasgow City,SOUTH OF HILLEND ROAD/WEST OF S.R.C. WATER,2.34,Vacant Land,Developable - Undetermined,Unknown,55.892243,-4.268471,3.9,10.8,18.9,False,"https://www.google.com/maps/search/?api=1&query=55.892243,-4.268471"
9,3,14.0,48.2,violation,4191,JOAN OF ARC P.S.,Glasgow City,722 BALMORE ROAD,0.87,Derelict,Developable - Undetermined,Education,55.896478,-4.263967,4.4,11.2,18.5,False,"https://www.google.com/maps/search/?api=1&query=55.896478,-4.263967"
9,2,18.1,4.5,violation,4382,FMR THIRLSTANE NURSERY,Glasgow City,56 CRAGGAN DRIVE YOKER,1.33,Vacant Land,Developable - Medium Term,Education,55.887788,-4.368481,7.8,4.8,25.1,True,"https://www.google.com/maps/search/?api=1&query=55.887788,-4.368481"
9,2,16.8,0.4,violation,8445367,FORMER PS,South Lanarkshire,CAIRNSWELL AVENU CAMBUSLANG,2.65,Vacant Land,Developable - Undetermined,Education,55.810345,-4.149654,8.5,18.8,18.6,False,"https://www.google.com/maps/search/?api=1&query=55.810345,-4.149654"
9,2,15.9,3.8,violation,2915,,Glasgow City,3-23 BUCHLYVIE STREET.,1.97,Vacant Land,Developable - Medium Term,Residential - Housing,55.864217,-4.11266,9.0,20.1,12.4,False,"https://www.google.com/maps/search/?api=1&query=55.864217,-4.112660"
9,2,18.1,0.2,violation,3559,,Glasgow City,KINCLAVEN AVENUE BLACKCRAIG AVE LINKWOOD DR.,1.56,Vacant Land,Developable - Medium Term,Residential - Housing,55.912596,-4.361832,9.0,6.9,24.0,False,"https://www.google.com/maps/search/?api=1&query=55.912596,-4.361832"
